"","author","year","title","journal"
"60","AMAYA SANTIAGO",2013,"SLIPS","NOUS"
"61","TREANOR NICK",2013,"THE MEASURE OF KNOWLEDGE","NOUS"
"62","WELLMAN CHRISTOPHER HEATH",2009,"RIGHTS AND STATE PUNISHMENT","JOURNAL OF PHILOSOPHY"
"63","TURRI JOHN",2013,"KNOWLEDGE GUARANTEED","NOUS"
"64","ROBINSON LUKE",2013,"A DISPOSITIONAL ACCOUNT OF CONFLICTS OF OBLIGATION","NOUS"
"65","EKLUND MATTI",2013,"CARNAP'S METAONTOLOGY","NOUS"
"66","FARA DELIA GRAFF",2013,"SPECIFYING DESIRES","NOUS"
"67","LAVIN DOUGLAS",2013,"MUST THERE BE BASIC ACTION?","NOUS"
"68","DOGGETT TYLER",2013,"SAVING THE FEW","NOUS"
"69","LIVENGOOD JONATHAN",2013,"ACTUAL CAUSATION AND SIMPLE VOTING SCENARIOS","NOUS"
"70","MOLTMANN FRIEDERIKE",2013,"TROPES, BARE DEMONSTRATIVES, AND APPARENT STATEMENTS OF IDENTITY","NOUS"
"71","MCGLYNN AIDAN",2013,"BELIEVING THINGS UNKNOWN","NOUS"
"72","KELLY ERIN I",2009,"CRIMINAL JUSTICE WITHOUT RETRIBUTION","JOURNAL OF PHILOSOPHY"
"73","ROTHSCHILD DANIEL",2013,"DO INDICATIVE CONDITIONALS EXPRESS PROPOSITIONS?","NOUS"
"74","PROSSER SIMON",2013,"PASSAGE AND PERCEPTION","NOUS"
"75","HAWLEY PATRICK",2013,"INERTIA, OPTIMISM AND BEAUTY","NOUS"
"76","SCHNEIDER SUSAN",2013,"NON-REDUCTIVE PHYSICALISM AND THE MIND PROBLEM","NOUS"
"77","KOTZEN MATTHEW",2013,"MULTIPLE STUDIES AND EVIDENTIAL DEFEAT","NOUS"
"78","RIDGE MICHAEL",2013,"GETTING LOST ON THE ROAD TO LARISSA","NOUS"
"79","CAMP ELISABETH",2012,"SARCASM, PRETENSE, AND THE SEMANTICS/PRAGMATICS DISTINCTION","NOUS"
"80","KROON FREDERICK",2009,"EXISTENCE IN THE THEORY OF DEFINITE DESCRIPTIONS","JOURNAL OF PHILOSOPHY"
"81","HOPKINS ROBERT",2012,"FACTIVE PICTORIAL EXPERIENCE: WHAT'S SPECIAL ABOUT PHOTOGRAPHS?","NOUS"
"82","STREVENS MICHAEL",2012,"THE EXPLANATORY ROLE OF IRREDUCIBLE PROPERTIES","NOUS"
"83","WOODWARD RICHARD",2012,"FICTIONALISM AND INCOMPLETENESS","NOUS"
"84","SMITH MARTIN",2012,"SOME THOUGHTS ON THE JK-RULE","NOUS"
"85","WRAY K BRAD",2012,"EPISTEMIC PRIVILEGE AND THE SUCCESS OF SCIENCE","NOUS"
"86","GLICK EPHRAIM",2012,"A MODAL APPROACH TO INTENTIONAL IDENTITY","NOUS"
"87","SHER GEORGE",2012,"TALENTS AND CHOICES","NOUS"
"88","GOLDMAN ALVIN I",2009,"INTERNALISM, EXTERNALISM, AND THE ARCHITECTURE OF JUSTIFICATION","JOURNAL OF PHILOSOPHY"
"89","LIN MARTIN",2012,"RATIONALISM AND NECESSITARIANISM","NOUS"
"90","GRAHAM PETER J",2012,"EPISTEMIC ENTITLEMENT","NOUS"
"91","BAKER DAVID JOHN",2012,"``THE EXPERIENCE OF LEFT AND RIGHT{''} MEETS THE PHYSICS OF LEFT AND
RIGHT","NOUS"
"92","WEARING CATHERINE",2012,"METAPHOR, IDIOM, AND PRETENSE","NOUS"
"93","NEY ALYSSA",2012,"THE STATUS OF OUR ORDINARY THREE DIMENSIONS IN A QUANTUM UNIVERSE","NOUS"
"94","MOSS SARAH",2012,"ON THE PRAGMATICS OF COUNTERFACTUALS","NOUS"
"95","SIEGEL SUSANNA",2012,"COGNITIVE PENETRABILITY AND PERCEPTUAL JUSTIFICATION","NOUS"
"96","SKOW BRADFORD",2012,"WHY DOES TIME PASS?","NOUS"
"97","BUTTON TIM",2012,"SPOTTY SCOPE AND OUR RELATION TO FICTIONS","NOUS"
"98","UZQUIANO GABRIEL",2012,"BEFORE-EFFECT WITHOUT ZENO CAUSALITY","NOUS"
"99","MONTERO BARBARA GAIL",2013,"MUST PHYSICALISM IMPLY THE SUPERVENIENCE OF THE MENTAL ON THE PHYSICAL?","JOURNAL OF PHILOSOPHY"
"100","ADLER JONATHAN E",2009,"RESISTING THE FORCE OF ARGUMENT","JOURNAL OF PHILOSOPHY"
"101","SMITHIES DECLAN",2012,"THE NORMATIVE ROLE OF KNOWLEDGE","NOUS"
"102","CHOI SUNGHO",2012,"INTRINSIC FINKS AND DISPOSITIONAL/CATEGORICAL DISTINCTION","NOUS"
"103","OSTERTAG GARY",2012,"CRITICAL STUDY JULIAN DODD. WORKS OF MUSIC: AN ESSAY IN ONTOLOGY.
(OXFORD: OXFORD UNIVERSITY PRESS, 2007)","NOUS"
"104","DORSEY DALE",2012,"WEAK ANTI-RATIONALISM AND THE DEMANDS OF MORALITY","NOUS"
"105","PORTMORE DOUGLAS W",2012,"IMPERFECT REASONS AND RATIONAL OPTIONS","NOUS"
"106","GAUKER CHRISTOPHER",2012,"WHAT TIPPER IS READY FOR: A SEMANTICS FOR INCOMPLETE PREDICATES","NOUS"
"107","DUNLOP KATHERINE",2012,"KANT AND STRAWSON ON THE CONTENT OF GEOMETRICAL CONCEPTS","NOUS"
"108","DIEKEMPER JOSEPH",2009,"THISNESS AND EVENTS","JOURNAL OF PHILOSOPHY"
"109","CHALMERS DAVID J",2011,"PROPOSITIONS AND ATTITUDE ASCRIPTIONS: A FREGEAN ACCOUNT","NOUS"
"110","LEVY ARNON",2011,"INFORMATION IN BIOLOGY: A FICTIONALIST ACCOUNT","NOUS"
"111","NETA RAM",2011,"A REFUTATION OF CARTESIAN FALLIBILISM","NOUS"
"112","EFFINGHAM NIKK",2011,"UNDERMINING MOTIVATIONS FOR UNIVERSALISM","NOUS"
"113","SCHELLENBERG SUSANNA",2011,"PERCEPTUAL CONTENT DEFENDED","NOUS"
"114","KALDERON MARK ELI",2011,"COLOR ILLUSION","NOUS"
"115","KELLER SIMON",2011,"SOCIAL PSYCHOLOGY AND PHILOSOPHY: PROBLEMS IN TRANSLATION","NOUS"
"116","YAFFE GIDEON",2011,"LOCKE ON CONSCIOUSNESS, PERSONAL IDENTITY AND THE IDEA OF DURATION","NOUS"
"117","LIEBESMAN DAVID",2011,"SIMPLE GENERICS","NOUS"
"118","STANG NICHOLAS F",2011,"DID KANT CONFLATE THE NECESSARY AND THE A PRIORI?","NOUS"
"119","CROSS CHARLES B",2009,"CAUSAL INDEPENDENCE, THE IDENTITY OF INDISCERNIBLES, AND THE
ESSENTIALITY OF ORIGINS","JOURNAL OF PHILOSOPHY"
"120","LEIBOWITZ URI D",2011,"SCIENTIFIC EXPLANATION AND MORAL EXPLANATION","NOUS"
"121","BEEBEE HELEN",2011,"NECESSARY CONNECTIONS AND THE PROBLEM OF INDUCTION","NOUS"
"122","ZANGWILL NICK",2011,"NEGATIVE PROPERTIES","NOUS"
"123","BARKER STEPHEN",2011,"CAN COUNTERFACTUALS REALLY BE ABOUT POSSIBLE WORLDS?","NOUS"
"124","COPP DAVID",2011,"JESSE PRINZ, THE EMOTIONAL CONSTRUCTION OF MORALS (OXFORD: OXFORD
UNIVERSITY PRESS, 2007): PRINZ'S SUBJECTIVIST MORAL REALISM","NOUS"
"125","STANLEY JASON",2011,"KNOWING (HOW)","NOUS"
"126","PACE MICHAEL",2011,"THE EPISTEMIC VALUE OF MORAL CONSIDERATIONS: JUSTIFICATION, MORAL
ENCROACHMENT, AND JAMES' `WILL TO BELIEVE'","NOUS"
"127","EAGLE ANTONY",2011,"DETERMINISTIC CHANCE","NOUS"
"128","EINHEUSER IRIS",2011,"TOWARD A CONCEPTUALIST SOLUTION OF THE GROUNDING PROBLEM","NOUS"
"129","CARMICHAEL CHAD",2011,"VAGUE COMPOSITION WITHOUT VAGUE EXISTENCE","NOUS"
"130","CHOMSKY NOAM",2009,"THE MYSTERIES OF NATURE: HOW DEEPLY HIDDEN?","JOURNAL OF PHILOSOPHY"
"131","SCHROEDER MARK",2011,"HOLISM, WEIGHT, AND UNDERCUTTING","NOUS"
"132","SZABO ZOLTAN GENDLER",2011,"CRITICAL STUDY OF MARK ELI KALDERON (ED.) FICTIONALISM IN MATAPHYSICS","NOUS"
"133","NEEDHAM PAUL",2011,"MICROESSENTIALISM: WHAT IS THE ARGUMENT?","NOUS"
"134","ROCA-ROYES SONIA",2011,"CONCEIVABILITY AND DE RE MODAL KNOWLEDGE","NOUS"
"135","WU WAYNE",2011,"CONFRONTING MANY-MANY PROBLEMS: ATTENTION AND AGENTIVE CONTROL","NOUS"
"136","KENNEDY MATTHEW",2011,"NAIVE REALISM, PRIVILEGED ACCESS, AND EPISTEMIC SAFETY","NOUS"
"137","KAHANE GUY",2011,"EVOLUTIONARY DEBUNKING ARGUMENTS","NOUS"
"138","HARE CASPAR",2011,"OBLIGATION AND REGRET WHEN THERE IS NO FACT OF THE MATTER ABOUT WHAT
WOULD HAVE HAPPENED IF YOU HAD NOT DONE WHAT YOU DID","NOUS"
"139","FEFERMAN SOLOMON",2009,"GODEL, NAGEL, MINDS, AND MACHINES","JOURNAL OF PHILOSOPHY"
"140","ALBRITTON ROGERS",2011,"ON A FORM OF SKEPTICAL ARGUMENT FROM POSSIBILITY","NOUS"
"141","ANTONY LOUISE M",2011,"THE OPENNESS OF ILLUSIONS","NOUS"
"142","BROGAARD BERIT",2011,"PRIMITIVE KNOWLEDGE DISJUNCTIVISM","NOUS"
"143","BRUECKNER ANTHONY",2011,"SIMILAR TO K SIMILAR TO SK","NOUS"
"144","HELLIE BENJ",2011,"THERE IT IS","NOUS"
"145","JOHNSTON MARK",2011,"ON A NEGLECTED EPISTEMIC VIRTUE","NOUS"
"146","KALDERON MARK ELI",2011,"BEFORE THE LAW","NOUS"
"147","KRIEGEL URIAH",2011,"THE VEIL OF ABSTRACTA","NOUS"
"148","LOGUE HEATHER",2011,"THE SKEPTIC AND THE NAIVE REALIST","NOUS"
"149","CAREY SUSAN",2009,"WHERE OUR NUMBER CONCEPTS COME FROM","JOURNAL OF PHILOSOPHY"
"150","LYONS JACK",2011,"CIRCULARITY, RELIABILITY, AND THE COGNITIVE PENETRABILITY OF PERCEPTION","NOUS"
"151","MASROUR FARID",2011,"IN DEFENSE OF EPISTEMIC MODESTY","NOUS"
"152","MILLAR ALAN",2011,"HOW VISUAL PERCEPTION YIELDS REASONS FOR BELIEF","NOUS"
"153","NIDA-RUEMELIN MARTINE",2011,"PHENOMENAL PRESENCE AND PERCEPTUAL AWARENESS: A SUBJECTIVIST ACCOUNT OF
PERCEPTUAL OPENNESS TO THE WORLD","NOUS"
"154","PAUTZ ADAM",2011,"CAN DISJUNCTIVISTS EXPLAIN OUR ACCESS TO THE SENSIBLE WORLD?","NOUS"
"155","PRITCHARD DUNCAN",2011,"EPISTEMOLOGICAL DISJUNCTIVISM AND THE BASIS PROBLEM","NOUS"
"156","SORENSEN ROY",2011,"TWO FIELDS OF VISION","NOUS"
"157","SOSA DAVID",2011,"SOME OF THE STRUCTURE OF EXPERIENCE AND BELIEF","NOUS"
"158","SOTERIOU MATTHEW",2011,"OCCURRENT PERCEPTUAL KNOWLEDGE","NOUS"
"159","TRAVIS CHARLES",2011,"DESPERATELY SEEKING PSI","NOUS"
"160","MARCONI DIEGO",2009,"BEING AND BEING CALLED: PARADIGM CASE ARGUMENTS AND NATURAL KIND WORDS","JOURNAL OF PHILOSOPHY"
"161","COMESANA JUAN",2010,"EVIDENTIALIST RELIABILISM","NOUS"
"162","BARNES ELIZABETH",2010,"ONTIC VAGUENESS: A GUIDE FOR THE PERPLEXED","NOUS"
"163","MCDANIEL KRIS",2010,"BEING AND ALMOST NOTHINGNESS","NOUS"
"164","WILLIAMS J ROBERT G",2010,"DEFENDING CONDITIONAL EXCLUDED MIDDLE","NOUS"
"165","GERT JOSHUA",2010,"COLOR CONSTANCY, COMPLEXITY, AND COUNTERFACTUAL","NOUS"
"166","BEEBE JAMES R",2010,"MORAL RELATIVISM IN CONTEXT","NOUS"
"167","SCHRENK MARKUS",2010,"THE POWERLESSNESS OF NECESSITY","NOUS"
"168","PERRY JOHN",2010,"CRITICAL STUDY VELLEMAN: SELF TO SELF","NOUS"
"169","DOGRAMACI SINAN",2010,"KNOWLEDGE OF VALIDITY","NOUS"
"170","BURGESS ALEXIS",2010,"HOW TO RECONCILE DEFLATIONISM AND NONFACTUALISM","NOUS"
"171","HENNIG BORIS",2009,"THE FOUR CAUSES","JOURNAL OF PHILOSOPHY"
"172","NEWLANDS SAMUEL",2010,"ANOTHER KIND OF SPINOZISTIC MONISM","NOUS"
"173","FRIEDMAN MICHAEL",2010,"LOGIC, MATHEMATICAL SCIENCE, AND TWENTIETH CENTURY PHILOSOPHY: MARK
WILSON AND THE ANALYTIC TRADITION","NOUS"
"174","WILSON MARK",2010,"WHAT CAN CONTEMPORARY PHILOSOPHY LEARN FROM OUR ``SCIENTIFIC
PHILOSOPHY{''} HERITAGE?","NOUS"
"175","HURKA THOMAS",2010,"ASYMMETRIES IN VALUE","NOUS"
"176","REED BARON",2010,"A DEFENSE OF STABLE INVARIANTISM","NOUS"
"177","PRITCHARD DUNCAN",2010,"RELEVANT ALTERNATIVES, PERCEPTUAL KNOWLEDGE AND DISCRIMINATION","NOUS"
"178","BARNETT DAVID",2010,"ZIF WOULD HAVE BEEN IF: A SUPPOSITIONAL VIEW OF COUNTERFACTUALS","NOUS"
"179","NICKEL BERNHARD",2010,"HOW GENERAL DO THEORIES OF EXPLANATION NEED TO BE?","NOUS"
"180","NORTH JILL",2009,"THE ``STRUCTURE{''} OF PHYSICS: A CASE STUDY","JOURNAL OF PHILOSOPHY"
"181","BUCHANAN RAY",2010,"A PUZZLE ABOUT MEANING AND COMMUNICATION","NOUS"
"182","ALLEN COLIN",2010,"MIRROR, MIRROR IN THE BRAIN, WHAT'S THE MONKEY STAND TO GAIN?","NOUS"
"183","STOUT ROWLAND",2010,"WHAT YOU KNOW WHEN YOU KNOW AN ANSWER TO A QUESTION","NOUS"
"184","TURNER JASON",2010,"FITTING ATTITUDES DE DICTO AND DE SE","NOUS"
"185","SMITH MARTIN",2010,"WHAT ELSE JUSTIFICATION COULD BE","NOUS"
"186","BOURGET DAVID",2010,"CONSCIOUSNESS IS UNDERIVED INTENTIONALITY","NOUS"
"187","DORSEY DALE",2010,"THREE ARGUMENTS FOR PERFECTIONISM","NOUS"
"188","KMENT BORIS",2010,"CAUSATION: DETERMINATION AND DIFFERENCE-MAKING","NOUS"
"189","ROSKIES ADINA L",2010,"`THAT' RESPONSE DOESN'T WORK: AGAINST A DEMONSTRATIVE DEFENSE OF
CONCEPTUALISM","NOUS"
"190","ISMAEL JENANN T",2009,"PROBABILITY IN DETERMINISTIC PHYSICS","JOURNAL OF PHILOSOPHY"
"191","SMITH MATTHEW NOAH",2010,"RELIANCE","NOUS"
"192","CLARKE RANDOLPH",2010,"INTENTIONAL OMISSIONS","NOUS"
"193","CAMERON ROSS P",2010,"FROM HUMEAN TRUTHMAKER THEORY TO PRIORITY MONISM","NOUS"
"194","BLOCK NED",2010,"ATTENTION AND MENTAL PAINT","NOUS"
"195","CAMPBELL JOHN",2010,"INDEPENDENCE OF VARIABLES IN MENTAL CAUSATION","NOUS"
"196","CASSAM QUASSIM",2010,"JUDGING, BELIEVING AND THINKING","NOUS"
"197","COHEN JONATHAN",2010,"PERCEPTION AND COMPUTATION","NOUS"
"198","HILL CHRISTOPHER S",2010,"INTENTIONALITY DOWNSIZED","NOUS"
"199","COHEN JONATHAN",2013,"INDEXICALITY AND THE PUZZLE OF THE ANSWERING MACHINE","JOURNAL OF PHILOSOPHY"
"200","MILLER RICHARD B",2009,"ACTUAL RULE UTILITARIANISM","JOURNAL OF PHILOSOPHY"
"201","JACKSON FRANK",2010,"THE AUTONOMY OF MIND","NOUS"
"202","KRIEGEL URIAH",2010,"INTENTIONALITY AND NORMATIVITY","NOUS"
"203","LEVINE JOSEPH",2010,"PHENOMENAL EXPERIENCE: A CARTESIAN THEATER REVIVAL","NOUS"
"204","MACPHERSON FIONA",2010,"A DISJUNCTIVE THEORY OF INTROSPECTION: A REFLECTION ON ZOMBIES AND
ANTON'S SYNDROME","NOUS"
"205","MCLAUGHLIN BRIAN P",2010,"CONSCIOUSNESS, TYPE PHYSICALISM, AND INFERENCE TO THE BEST EXPLANATION","NOUS"
"206","O'CALLAGHAN CASEY",2010,"EXPERIENCING SPEECH","NOUS"
"207","PAUTZ ADAM",2010,"DO THEORIES OF CONSCIOUSNESS REST ON A MISTAKE?","NOUS"
"208","ROSENTHAL DAVID",2010,"HOW TO THINK ABOUT MENTAL QUALITIES","NOUS"
"209","SCHROEDER TIMOTHY",2010,"PRACTICAL RATIONALITY IS A PROBLEM IN THE PHILOSOPHY OF MIND","NOUS"
"210","TYE MICHAEL",2010,"ATTENTION, SEEING, AND CHANGE BLINDNESS","NOUS"
"211","FALLIS DON",2009,"WHAT IS LYING?","JOURNAL OF PHILOSOPHY"
"212","NEY ALYSSA",2010,"CONVERGENCE ON THE PROBLEM OF MENTAL CAUSATION: SHOEMAKER'S STRATEGY FOR
(NONREDUCTIVE?) PHYSICALISTS","NOUS"
"213","GOLDBERG SANFORD C",2009,"EXPERTS, SEMANTIC AND EPISTEMIC","NOUS"
"214","CHRISTOFIDOU ANDREA",2009,"DESCARTES ON FREEDOM, TRUTH, AND GOODNESS","NOUS"
"215","KELLER SIMON",2009,"WELFARE AS SUCCESS","NOUS"
"216","NETA RAM",2009,"TREATING SOMETHING AS A REASON FOR ACTION","NOUS"
"217","FERRERO LUCA",2009,"CONDITIONAL INTENTIONS","NOUS"
"218","LANGE MARC",2009,"DIMENSIONAL EXPLANATIONS","NOUS"
"219","HARMAN ELIZABETH",2009,"DAVID BENATAR. BETTER NEVER TO HAVE BEEN: THE HARM OF COMING INTO
EXISTENCE (OXFORD: OXFORD UNIVERSITY PRESS, 2006)","NOUS"
"220","HINCHMAN EDWARD S",2009,"RECEPTIVITY AND THE WILL","NOUS"
"221","MAMELI MATTEO",2008,"ON INNATENESS: THE CLUTTER HYPOTHESIS AND THE CLUSTER HYPOTHESIS","JOURNAL OF PHILOSOPHY"
"222","BRIGGS RACHAEL",2009,"THE ANATOMY OF THE BIG BAD BUG","NOUS"
"223","GOBLE LOU",2009,"NORMATIVE CONFLICTS AND THE LOGIC OF `OUGHT'","NOUS"
"224","TURRI JOHN",2009,"THE ONTOLOGY OF EPISTEMIC REASONS","NOUS"
"225","SARTORIO CAROLINA",2009,"OMISSIONS AND CAUSALISM","NOUS"
"226","SIDER THEODORE",2009,"AGAINST VAGUE AND UNNATURAL EXISTENCE: REPLY TO LIEBESMAN AND EKLUND","NOUS"
"227","PILLER CHRISTIAN",2009,"DESIRING THE TRUTH AND NOTHING BUT THE TRUTH","NOUS"
"228","SCHLENKER PHILIPPE",2009,"ANSELM'S ARGUMENT AND BERRY'S PARADOX","NOUS"
"229","SIDELLE ALAN",2009,"CONVENTIONALISM AND THE CONTINGENCY OF CONVENTIONS","NOUS"
"230","KORMAN DANIEL Z",2009,"ELIMINATIVISM AND THE CHALLENGE FROM FOLK BELIEF","NOUS"
"231","OWENS DAVID",2008,"PROMISING WITHOUT INTENDING","JOURNAL OF PHILOSOPHY"
"232","WHITTLE BRUNO",2009,"EPISTEMICALLY POSSIBLE WORLDS AND PROPOSITIONS","NOUS"
"233","HOFWEBER THOMAS",2009,"THE META-PROBLEM OF CHANGE","NOUS"
"234","HOWELL ROBERT J",2009,"THE ONTOLOGY OF SUBJECTIVE PHYSICALISM","NOUS"
"235","ZEIMBEKIS JOHN",2009,"PHENOMENAL AND OBJECTIVE SIZE","NOUS"
"236","WILSON ROBERT A",2009,"THE TRANSITIVITY OF MATERIAL CONSTITUTION","NOUS"
"237","GERTLER BRIE",2009,"THE ROLE OF IGNORANCE IN THE PROBLEM OF CONSCIOUSNESS/DANIEL STOLJAR
IGNORANCE AND IMAGINATION: THE EPISTEMIC ORIGIN OF THE PROBLEM OF
CONSCIOUSNESS (OXFORD UNIVERSITY PRESS, 2006)","NOUS"
"238","OPPY GRAHAM",2009,"COSMOLOGICAL ARGUMENTS","NOUS"
"239","HOGAN DESMOND",2009,"HOW TO KNOW UNKNOWABLE THINGS IN THEMSELVES","NOUS"
"240","STEWARD HELEN",2009,"FAIRNESS, AGENCY AND THE FLICKER OF FREEDOM","NOUS"
"241","TAN KOK-CHOR",2008,"A DEFENSE OF LUCK EGALITARIANISM","JOURNAL OF PHILOSOPHY"
"242","MATTHEN MOHAN",2009,"CHICKEN, EGGS, AND SPECIATION","NOUS"
"243","MOLYNEUX BERNARD",2009,"WHY EXPERIENCE TOLD ME NOTHING ABOUT TRANSPARENCY","NOUS"
"244","CATH YURI",2009,"THE ABILITY HYPOTHESIS AND THE NEW KNOWLEDGE-HOW","NOUS"
"245","GIBBONS JOHN",2009,"YOU GOTTA DO WHAT YOU GOTTA DO","NOUS"
"246","AUDI ROBERT",2009,"MORAL VIRTUE AND REASONS FOR ACTION","NOUS"
"247","COPP DAVID",2009,"TOWARD A PLURALIST AND TELEOLOGICAL THEORY OF NORMATIVITY","NOUS"
"248","DEPAUL MICHAEL R",2009,"PYRRHONIAN MORAL SKEPTICISM AND THE PROBLEM OF THE CRITERION","NOUS"
